,gqa,okvqa,vqav2,aokvqa,avg,name
2,60.7966290348227,55.93,76.01,72.83842794759825,66.39376424560524,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
3,61.84608045794244,56.83,76.7,73.44978165938865,67.20646552933277,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
4,62.943234218476704,57.48,77.75,74.235807860262,68.10226051968468,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
5,62.67292097312769,57.44,78.43,75.4585152838428,68.50035906424263,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
6,63.36460486563842,57.82,78.92,75.10917030567686,68.80344379282882,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
7,63.66671966926379,57.44,79.35,75.02183406113538,68.86963843259979,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
8,63.80187629193831,58.0,79.53,74.75982532751092,69.0229254048623,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
9,63.929082525043725,57.57,79.69,74.58515283842794,68.94355884086792,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Route_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0331
0,57.54491970106535,54.21,73.9,71.87772925764192,64.38316223967682,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0330
1,59.93798696136111,54.74,75.12,72.75109170305677,65.63726966610447,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0330
2,60.77277786611543,55.58,76.23,73.7991266375546,66.59547612591751,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0330
3,61.66322149785339,57.91,76.69,73.27510917030567,67.38458266703977,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0330
4,62.56956590872953,57.59,77.73,74.06113537117905,67.98767531997714,mix_coco_gqa_ao_cocap_textcap_raw_QformerMoE_CLS_Cross_Universal_lnout_lr5e5_4ex4b_2loss_001_top6layer_textinqf_10epo_0330
